X,Y,SERVICEREQUESTID,STREETADDRESS,CITY,STATE,ZIPCODE,SERVICECODE,SERVICECODEDESCRIPTION,SERVICETYPECODEDESCRIPTION,ORGANIZATIONACRONYM,SERVICECALLCOUNT,ADDDATE,RESOLUTIONDATE,SERVICEDUEDATE,SERVICEORDERDATE,INSPECTIONFLAG,INSPECTIONDATE,INSPECTORNAME,SERVICEORDERSTATUS,STATUS_CODE,PRIORITY,DETAILS,WARD,XCOORD,YCOORD,LATITUDE,LONGITUDE,MARADDRESSREPOSITORYID,GIS_ID,GLOBALID,CREATED,EDITED,OBJECTID
406362.549999997,135906.289999999,26-00183801,5224 AMES STREET NE,WASHINGTON,DC,20019,S0422,Supercan - Delivery,SWMA- Solid Waste Management Admistration,DPW,1,2026/03/25 04:00:18+00,2026/03/30 14:39:05+00,2026/04/23 04:00:18+00,2026/03/25 04:00:18+00,,,,Closed,,Standard,,Ward 7,406362.55,135906.29,38.89097785,-76.92666056,11306,,{4DD793B5-80C9-3FE2-E063-782F520A6AEA},,,12510058
404248.460000001,135934.0,26-00183802,43 ANACOSTIA ROAD NE,WASHINGTON,DC,20019,S0336,Out of State Parking Violation (ROSA),PEMA- Parking Enforcement Management Administration,DPW,1,2026/03/25 04:01:35+00,2026/03/25 06:20:07+00,2026/05/07 04:01:35+00,2026/03/25 04:01:35+00,,,,Closed,,Standard,,Ward 7,404248.46,135934,38.89124023,-76.95102895,24092,,{4DD793B5-80CA-3FE2-E063-782F520A6AEA},,,12510059
395238.170000002,142343.609999999,26-00183803,4528 28TH STREET NW,WASHINGTON,DC,20008,TRACO001,Trash Cart Repair,SWMA- Solid Waste Management Admistration,DPW,1,2026/03/25 04:16:01+00,2026/04/07 20:12:02+00,2026/04/23 04:16:01+00,2026/03/25 04:16:01+00,,,,Closed,,Standard,,Ward 3,395238.17,142343.61,38.94897744,-77.05493301,219485,,{4DD793B5-80CB-3FE2-E063-782F520A6AEA},,,12510060
399653.119999997,138237.100000001,26-00183804,1625 ECKINGTON PLACE NE,WASHINGTON,DC,20002,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2026/03/25 04:16:01+00,2026/03/30 14:17:50+00,2026/04/01 04:16:01+00,2026/03/25 04:16:01+00,,,,Closed,,Standard,,Ward 5,399653.12,138237.1,38.91199724,-77.00399957,145957,,{4DD793B5-80CC-3FE2-E063-782F520A6AEA},,,12510061
397637.560000002,140183.079999998,26-00183805,1034 KENYON STREET NW,WASHINGTON,DC,20010,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2026/03/25 04:16:55+00,2026/03/25 14:48:24+00,2026/04/01 04:16:55+00,2026/03/25 04:16:55+00,,,,Closed,,Standard,,Ward 1,397637.56,140183.08,38.92952448,-77.02724594,231291,,{4DD793B5-80CD-3FE2-E063-782F520A6AEA},,,12510062
406362.549999997,135906.289999999,26-00183806,5224 AMES STREET NE,WASHINGTON,DC,20019,S0316,Recycling Cart Delivery,SWMA- Solid Waste Management Admistration,DPW,1,2026/03/25 04:17:30+00,2026/04/17 17:42:48+00,2026/04/23 04:17:30+00,2026/03/25 04:17:30+00,,,,Closed,,Standard,,Ward 7,406362.55,135906.29,38.89097785,-76.92666056,11306,,{4DD793B5-80CE-3FE2-E063-782F520A6AEA},,,12510063
397662.869999997,140187.57,26-00183808,1024 KENYON STREET NW,WASHINGTON,DC,20010,TRACO001,Trash Cart Repair,SWMA- Solid Waste Management Admistration,DPW,1,2026/03/25 04:24:06+00,2026/04/01 14:45:46+00,2026/04/23 04:24:05+00,2026/03/25 04:24:06+00,,,,Closed,,Standard,,Ward 1,397662.87,140187.57,38.92956466,-77.02695406,231316,,{4DD793B5-80CF-3FE2-E063-782F520A6AEA},,,12510064
397665.399999999,140141.489999998,26-00183811,1015 REAR IRVING STREET NW,WASHINGTON,DC,20010,S0011,Alley Cleaning,SWMA- Solid Waste Management Admistration,DPW,1,2026/03/25 04:26:57+00,2026/04/07 19:11:06+00,2026/05/08 04:26:57+00,2026/03/25 04:26:57+00,,,,Closed (Duplicate),,Standard,,Ward 1,397665.4,140141.49,38.92914957,-77.02692472,311023,,{4DD793B5-80D0-3FE2-E063-782F520A6AEA},,,12510065
396704.159999996,140338.670000002,26-00183812,3173 MOUNT PLEASANT STREET NW,WASHINGTON,DC,20010,SIGNMISS_v2,Roadway Signs,,DDOT,1,2026/03/25 04:30:40+00,2026/03/25 17:51:58+00,2026/09/30 04:30:40+00,2026/03/25 04:30:40+00,,,,Closed,,Standard,,Ward 1,396704.16,140338.67,38.93092308,-77.03801156,284595,,{4DD793B5-80D1-3FE2-E063-782F520A6AEA},,,12510066
403909.43,133519.620000001,26-00183813,3500 HIGHWOOD DRIVE SE,WASHINGTON,DC,20020,S0031,Bulk Collection,SWMA- Solid Waste Management Admistration,DPW,1,2026/03/25 04:32:32+00,2026/04/02 13:06:30+00,2026/04/03 03:59:00+00,2026/03/25 04:32:32+00,,,,Closed,,Standard,,Ward 7,403909.43,133519.62,38.86949213,-76.9549506,34108,,{4DD793B5-80D2-3FE2-E063-782F520A6AEA},,,12510067
