committee_id,committee_name,report_year,report_type,image_number,filing_form,link_id,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_city,recipient_state,recipient_zip,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,disbursement_purpose_category,memo_code,memo_code_full,memo_text,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,two_year_transaction_period,amendment_indicator,amendment_indicator_desc,schedule_type,schedule_type_full,load_date,sub_id,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,pdf_url,line_number_label,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_employer,payee_occupation,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,ref_disp_excess_flg,comm_dt,spender_committee_type,spender_committee_org_type,spender_committee_designation
C00558213,DEBBIE DINGELL FOR CONGRESS,2025,Q1,202504159755650501,F3,4041520251184156780,17,501227430,1887514,ORG,ORGANIZATION,,,A MANO,WASHINGTON,DC,200072721,,,,,MEALS WITH SUPPORTERS,TRAVEL,X,,*,2025-01-07 00:00:00,1170.24,,,,,,,,,,,,,P2026,,PRIMARY,2026,2026,A,ADD,SB,ITEMIZED DISBURSEMENTS,2025-04-25 03:36:35,4042420251186638478,,501227440,SB17,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202504159755650501,Operating Expenditures,,,,,,,,,,,,,,,,,,H,"",P
C00489112,JUSTICE EQUALITY FREEDOM FOREVER PAC,2025,M2,202502109753374001,F3X,4021120251166972002,21B,XB713EB1375,1875519,ORG,ORGANIZATION,,,CAPITOL HILL CLUB,WASHINGTON,DC,20006,,,,,MEALS,TRAVEL,X,,,2025-01-08 00:00:00,467.00,,,,,,,,,,,,,,,,,2026,A,ADD,SB,ITEMIZED DISBURSEMENTS,2025-02-12 03:09:06,4021120251167877005,,EB1375,SB21B,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202502109753374001,Other Federal Operating Expenditures,,,,,,,,002,Travel Expenses,CITI CARDS,P.O. BOX 78045,,PHOENIX,AZ,85062,,,Q,,D
C00489112,JUSTICE EQUALITY FREEDOM FOREVER PAC,2025,M3,202503139754145500,F3X,4031320251180009007,21B,XB721EB1380,1880230,ORG,ORGANIZATION,,,CAPITOL HILL CLUB,WASHINGTON,DC,20006,,,,,MEALS,TRAVEL,X,,,2025-02-26 00:00:00,1364.03,,,,,,,,,,,,,,,,,2026,A,ADD,SB,ITEMIZED DISBURSEMENTS,2025-03-14 03:36:30,4031320251180030676,,EB1380,SB21B,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202503139754145500,Other Federal Operating Expenditures,,,,,,,,002,Travel Expenses,CITI CARDS,P.O. BOX 78045,,PHOENIX,AZ,85062,,,Q,,D
C00384057,STAND WITH SANCHEZ,2025,Q1,202504159755378115,F3,4041520251184156266,17,500431686,1886648,ORG,ORGANIZATION,,,NATIONAL DEMOCRATIC CLUB,WASHINGTON,DC,200034006,,,,,MEALS,TRAVEL,,,,2025-01-21 00:00:00,156.28,,,,,,,,,,,,,P2026,,PRIMARY,2026,2026,A,ADD,SB,ITEMIZED DISBURSEMENTS,2025-04-18 03:36:47,4041720251185311957,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202504159755378115,Operating Expenditures,,,,,,,,,,,,,,,,,,H,,P
C00832576,PATRIOT PAC,2026,M4,202604209866601489,F3X,4042020261436071146,21B,500495755,1970297,ORG,ORGANIZATION,,,REPUBLIC CANTINA,WASHINGTON,DC,200011254,,,,,MEALS,TRAVEL,X,,*,2026-03-24 00:00:00,41.60,,,,,,,,,,,,,O2026,,,2026,2026,A,ADD,SB,ITEMIZED DISBURSEMENTS,2026-06-21 02:51:28,4052820261511784542,,500493563,SB21B,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202604209866601489,Other Federal Operating Expenditures,,,,,,,,,,,,,,,,,,Q,,D
C00443580,LUMMIS FOR WYOMING INC.,2025,Q2,202510159791358631,F3,4101520251292820003,17,B1D786C546FA04474B32,1921002,ORG,ORGANIZATION,,,HINE RESTAURANTS,WASHINGTON,DC,200032504,,,,,FUNDRAISING EVENT MEALS,TRAVEL,X,,,2025-04-25 00:00:00,1031.25,,,,,,,,,,,,,P2026,,PRIMARY,2026,2026,N,NO CHANGE,SB,ITEMIZED DISBURSEMENTS,2025-12-03 02:35:52,4120220251296594765,,BC5CF7D32C10E40A89D0,SB17,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202510159791358631,Operating Expenditures,,,,,,,,003,Solicitation and Fundraising Expenses ,,,,,,,,,S,,P
C00314575,COLLINS FOR SENATOR,2025,Q1,202506109761873638,F3,4061020251204962001,17,B983CED066DF74D1CA6B,1895008,ORG,ORGANIZATION,,,THE MONOCLE,WASHINGTON,DC,200025657,,,,,CAMPAIGN MEAL,TRAVEL,,,,2025-02-12 00:00:00,117.90,,,,,,,,,,,,,P2026,,PRIMARY,2026,2026,N,NO CHANGE,SB,ITEMIZED DISBURSEMENTS,2025-06-11 05:16:16,4061020251205435213,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202506109761873638,Operating Expenditures,,,,,,,,,,,,,,,,,,S,"",P
C00796144,VAL HOYLE FOR CONGRESS,2025,Q3,202510149790799870,F3,4101520251292819053,17,500343302,1919571,ORG,ORGANIZATION,,,AMA WASHINGTON,WASHINGTON,DC,200033385,,,,,CATERING/MEALS,TRAVEL,X,,*,2025-07-01 00:00:00,985.62,,,,,,,,,,,,,P2026,,PRIMARY,2026,2026,A,ADD,SB,ITEMIZED DISBURSEMENTS,2025-12-01 02:36:03,4113020251295049188,,500343293,SB17,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202510149790799870,Operating Expenditures,,,,,,,,,,,,,,,,,,H,,P
C00892976,VALENTINO FOR CONGRESS,2025,TER,202503109754081978,F3,4031020251179730006,17,SB17.4380.0,1879838,ORG,ORGANIZATION,,,CAPITOL HILL CLUB,WASHINGTON,DC,20003,,,,,MEALS,TRAVEL,X,,,2025-01-13 00:00:00,506.10,,,,,,,,,,,,,,,,,2026,A,ADD,SB,ITEMIZED DISBURSEMENTS,2025-03-11 03:37:07,4031020251179814964,,SB17.4380,SB17,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202503109754081978,Operating Expenditures,,,,,,,,,,,,,,,,,,H,"",P
C00796144,VAL HOYLE FOR CONGRESS,2025,Q3,202510149790799885,F3,4101520251292819053,17,500343323,1919571,ORG,ORGANIZATION,,,NATIONAL DEMOCRATIC CLUB,WASHINGTON,DC,200034006,,,,,CATERING/MEALS,TRAVEL,,,,2025-07-01 00:00:00,620.25,,,,,,,,,,,,,P2026,,PRIMARY,2026,2026,A,ADD,SB,ITEMIZED DISBURSEMENTS,2025-12-01 02:36:03,4113020251295049231,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202510149790799885,Operating Expenditures,,,,,,,,,,,,,,,,,,H,,P
